Drug,Disease,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClusteringCoefficient,RandomWalkCentrality,PhaseSuccess,PHASE2,PHASE3,PHASE4
tirzepatide,"diabetes mellitus, type 2",0.3076923076923077,0.0593919086327827,0.0048981759057073,0.3982894516183129,0.002790417830973,1,1,0,0
metformin,obesity,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
tirzepatide,"sleep apnea, obstructive",0.3076923076923077,0.0593919086327827,0.0048981759057073,0.3982894516183129,0.002790417830973,1,0,1,0
tirzepatide,obesity,0.3076923076923077,0.0593919086327827,0.0048981759057073,0.3982894516183129,0.002790417830973,1,0,1,0
exenatide,"diabetes mellitus, type 2",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,0,1
sitagliptin phosphate,"diabetes mellitus, type 2",0.2881745120551091,0.0605548195301256,0.0026549965724498,0.4600478087649402,0.0029195749618411,1,0,0,1
exenatide,"diabetes mellitus, type 2",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,0,1
liraglutide,"diabetes mellitus, type 2",0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
metformin,"diabetes mellitus, type 2",0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
liraglutide,overweight,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
metformin,overweight,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
metformin,obesity,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
albuterol,obesity,0.1802525832376578,0.0393158885118456,0.0013373954863172,0.6179977135391148,0.0015568901051869,0,0,0,1
albuterol,"asthma, exercise-induced",0.1802525832376578,0.0393158885118456,0.0013373954863172,0.6179977135391148,0.0015568901051869,0,0,0,1
tranexamic acid,postpartum hemorrhage,0.0849598163030998,0.0149500710174417,0.0002016332076875,0.7134394668641244,0.0006785833623482,1,1,0,0
tranexamic acid,postpartum hemorrhage,0.0849598163030998,0.0149500710174417,0.0002016332076875,0.7134394668641244,0.0006785833623482,1,1,0,0
tranexamic acid,postpartum hemorrhage,0.0849598163030998,0.0149500710174417,0.0002016332076875,0.7134394668641244,0.0006785833623482,1,1,0,0
glucagon-like peptide 1,non-alcoholic fatty liver disease,0.087256027554535,0.0205248911217194,6.984257100543635e-05,0.888421052631579,0.0007135489781868,1,1,0,0
glucagon-like peptide 1,non-alcoholic fatty liver disease,0.087256027554535,0.0205248911217194,6.984257100543635e-05,0.888421052631579,0.0007135489781868,1,1,0,0
glucagon-like peptide 1,"diabetes mellitus, type 2",0.087256027554535,0.0205248911217194,6.984257100543635e-05,0.888421052631579,0.0007135489781868,1,1,0,0
glucagon-like peptide 1,fatty liver,0.087256027554535,0.0205248911217194,6.984257100543635e-05,0.888421052631579,0.0007135489781868,1,1,0,0
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
liraglutide,cardiovascular diseases,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
exenatide,"diabetes mellitus, type 2",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,1,0
salmine,hypertension,0.4293915040183697,0.084110275916904,0.0120626385683121,0.3461455749738355,0.0042825138750898,1,1,0,0
salmine,cardiovascular diseases,0.4293915040183697,0.084110275916904,0.0120626385683121,0.3461455749738355,0.0042825138750898,1,1,0,0
exenatide,"diabetes mellitus, type 2",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,0,0,1,0
metformin,diabetes mellitus,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
sorbitol,non-alcoholic fatty liver disease,0.1699196326061997,0.0408827580246731,0.0010901227864021,0.6787093215664645,0.0011815874037983,1,1,0,0
tirzepatide,"arthritis, psoriatic",0.3076923076923077,0.0593919086327827,0.0048981759057073,0.3982894516183129,0.002790417830973,1,0,0,1
exenatide,"diabetes mellitus, type 2",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,0,1
sitagliptin phosphate,"diabetes mellitus, type 2",0.2881745120551091,0.0605548195301256,0.0026549965724498,0.4600478087649402,0.0029195749618411,1,0,0,1
metformin,insulin resistance,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,1,0,0
pioglitazone,insulin resistance,0.4994259471871412,0.0972644545706885,0.0127482203215867,0.3279728799194872,0.0048170887434955,1,1,0,0
rosiglitazone,insulin resistance,0.4994259471871412,0.0978777546434541,0.0096474548219362,0.3311510143545739,0.0045646916355967,1,1,0,0
metformin,diabetes mellitus,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,1,0,0
pioglitazone,diabetes mellitus,0.4994259471871412,0.0972644545706885,0.0127482203215867,0.3279728799194872,0.0048170887434955,1,1,0,0
rosiglitazone,diabetes mellitus,0.4994259471871412,0.0978777546434541,0.0096474548219362,0.3311510143545739,0.0045646916355967,1,1,0,0
insulin detemir,obesity,0.2870264064293915,0.0664434792993769,0.0011227620262558,0.5389558232931727,0.002273865280885,0,0,1,0
prospidium,obesity,0.1228473019517795,0.0317390721995431,0.0020578287510354,0.967377887497796,0.000873680995749,1,0,0,1
prospidium,"urinary bladder, overactive",0.1228473019517795,0.0317390721995431,0.0020578287510354,0.967377887497796,0.000873680995749,1,0,0,1
probenecid,hypotension,0.1905855338691159,0.0426425334219696,0.0006241929071489,0.6201533406352684,0.0013962625829931,1,0,1,0
allopurinol,hypotension,0.2973593570608496,0.0616852653886483,0.0038745930322469,0.4542815240489659,0.003254734638105,1,0,1,0
probenecid,overweight,0.1905855338691159,0.0426425334219696,0.0006241929071489,0.6201533406352684,0.0013962625829931,1,0,1,0
allopurinol,overweight,0.2973593570608496,0.0616852653886483,0.0038745930322469,0.4542815240489659,0.003254734638105,1,0,1,0
probenecid,obesity,0.1905855338691159,0.0426425334219696,0.0006241929071489,0.6201533406352684,0.0013962625829931,1,0,1,0
allopurinol,obesity,0.2973593570608496,0.0616852653886483,0.0038745930322469,0.4542815240489659,0.003254734638105,1,0,1,0
oseltamivir,obesity,0.1205510907003444,0.0315460482331691,0.0,1.0,0.000771198314952,1,1,0,0
exenatide,"diabetes mellitus, type 2",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,1,0
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,1,0,0
topiramate,bulimia,0.3880597014925373,0.0764601935746476,0.0067053116839778,0.3909715028181131,0.0036636784701075,1,0,1,0
liraglutide,nutrition disorders,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,1,0
liraglutide,nutrition disorders,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,1,0
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,1,0
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,1,0
vildagliptin,insulin resistance,0.1768082663605051,0.0405004713841059,0.0003414453764555,0.6300823359646889,0.0014931670917472,1,0,1,0
vildagliptin,cardiovascular diseases,0.1768082663605051,0.0405004713841059,0.0003414453764555,0.6300823359646889,0.0014931670917472,1,0,1,0
growth hormone,obesity,0.2755453501722159,0.0621026831267711,0.0019252630291365,0.5313458856345885,0.00200714512349,1,0,0,1
pioglitazone,obesity,0.4994259471871412,0.0972644545706885,0.0127482203215867,0.3279728799194872,0.0048170887434955,1,0,0,1
growth hormone,metabolic syndrome,0.2755453501722159,0.0621026831267711,0.0019252630291365,0.5313458856345885,0.00200714512349,1,0,0,1
pioglitazone,metabolic syndrome,0.4994259471871412,0.0972644545706885,0.0127482203215867,0.3279728799194872,0.0048170887434955,1,0,0,1
growth hormone,glucose intolerance,0.2755453501722159,0.0621026831267711,0.0019252630291365,0.5313458856345885,0.00200714512349,1,0,0,1
pioglitazone,glucose intolerance,0.4994259471871412,0.0972644545706885,0.0127482203215867,0.3279728799194872,0.0048170887434955,1,0,0,1
pioglitazone,"heart failure, diastolic",0.4994259471871412,0.0972644545706885,0.0127482203215867,0.3279728799194872,0.0048170887434955,1,0,0,1
exenatide,obesity,0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,0,1
propofol,obesity,0.3203214695752009,0.0605934914022657,0.006289599911896,0.3637348185967355,0.0031135023939977,1,0,0,1
losartan,obesity,0.2916188289322617,0.0631079888953003,0.0012720193186353,0.5069247766954031,0.0030455092232533,1,0,0,1
losartan,hypertension,0.2916188289322617,0.0631079888953003,0.0012720193186353,0.5069247766954031,0.0030455092232533,1,0,0,1
losartan,hyperglycemia,0.2916188289322617,0.0631079888953003,0.0012720193186353,0.5069247766954031,0.0030455092232533,1,0,0,1
liraglutide,nutrition disorders,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,1,0
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,1,0
amlodipine,hypertension,0.2766934557979334,0.0587120235776982,0.0018809504860412,0.5025242047026279,0.0024479781887315,1,0,0,1
betaine,obesity,0.1205510907003444,0.0315460482331691,0.0,1.0,0.000771198314952,1,1,0,0
exenatide,prediabetic state,0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,0,1
exenatide,obesity,0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,0,1
tirzepatide,obesity,0.3076923076923077,0.0593919086327827,0.0048981759057073,0.3982894516183129,0.002790417830973,1,0,0,1
niacinamide,fatty liver,0.3134328358208955,0.066903518465654,0.0054165961266888,0.4510611937082525,0.0024862628269898,1,1,0,0
niacinamide,obesity,0.3134328358208955,0.066903518465654,0.0054165961266888,0.4510611937082525,0.0024862628269898,1,1,0,0
niacinamide,"diabetes mellitus, type 2",0.3134328358208955,0.066903518465654,0.0054165961266888,0.4510611937082525,0.0024862628269898,1,1,0,0
niacinamide,non-alcoholic fatty liver disease,0.3134328358208955,0.066903518465654,0.0054165961266888,0.4510611937082525,0.0024862628269898,1,1,0,0
testosterone,hypogonadism,0.3134328358208955,0.0701677163800415,0.0021854701879322,0.4903038138332256,0.0021130829397945,0,1,0,0
clomiphene,hypogonadism,0.1699196326061997,0.0407631109056717,0.0003028733132916,0.7442544585401728,0.0013109626819693,0,1,0,0
testosterone,"diabetes mellitus, type 2",0.3134328358208955,0.0701677163800415,0.0021854701879322,0.4903038138332256,0.0021130829397945,0,1,0,0
clomiphene,"diabetes mellitus, type 2",0.1699196326061997,0.0407631109056717,0.0003028733132916,0.7442544585401728,0.0013109626819693,0,1,0,0
orlistat,obesity,0.2766934557979334,0.0599804676095111,0.0011370419303196,0.5300484094052559,0.0027475391042044,1,0,0,1
orlistat,bulimia,0.2766934557979334,0.0599804676095111,0.0011370419303196,0.5300484094052559,0.0027475391042044,1,0,0,1
micafungin,"obesity, morbid",0.0126291618828932,0.0023201358303447,0.0,1.0,0.0002800781047768,1,0,0,1
exenatide,diabetes mellitus,0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,0,0,0,1
exenatide,heart failure,0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,0,0,0,1
liraglutide,nutrition disorders,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,1,0,0
orlistat,nutrition disorders,0.2766934557979334,0.0599804676095111,0.0011370419303196,0.5300484094052559,0.0027475391042044,1,1,0,0
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,1,0,0
orlistat,obesity,0.2766934557979334,0.0599804676095111,0.0011370419303196,0.5300484094052559,0.0027475391042044,1,1,0,0
xenon,synesthesia,0.1377726750861079,0.0329554797299827,0.0001535265537644,0.8327731092436975,0.0009671957937006,1,0,0,1
sitagliptin phosphate,"diabetes mellitus, type 2",0.2881745120551091,0.0605548195301256,0.0026549965724498,0.4600478087649402,0.0029195749618411,1,0,1,0
phentermine,obesity,0.2055109070034443,0.0453784973596803,0.0012214848100114,0.5938108091143054,0.0017712465401816,1,0,0,1
phentermine,"obesity, morbid",0.2055109070034443,0.0453784973596803,0.0012214848100114,0.5938108091143054,0.0017712465401816,1,0,0,1
phentermine,non-alcoholic fatty liver disease,0.2055109070034443,0.0453784973596803,0.0012214848100114,0.5938108091143054,0.0017712465401816,1,0,0,1
phentermine,weight loss,0.2055109070034443,0.0453784973596803,0.0012214848100114,0.5938108091143054,0.0017712465401816,1,0,0,1
fenofibrate,dyslipidemias,0.3455797933409874,0.0693071401278644,0.004596195533012,0.3980730897009967,0.003089014039529,0,1,0,0
fenofibrate,sleep apnea syndromes,0.3455797933409874,0.0693071401278644,0.004596195533012,0.3980730897009967,0.003089014039529,0,1,0,0
fenofibrate,overweight,0.3455797933409874,0.0693071401278644,0.004596195533012,0.3980730897009967,0.003089014039529,0,1,0,0
fenofibrate,obesity,0.3455797933409874,0.0693071401278644,0.004596195533012,0.3980730897009967,0.003089014039529,0,1,0,0
sitagliptin phosphate,polycystic ovary syndrome,0.2881745120551091,0.0605548195301256,0.0026549965724498,0.4600478087649402,0.0029195749618411,1,0,0,1
topiramate,obesity,0.3880597014925373,0.0764601935746476,0.0067053116839778,0.3909715028181131,0.0036636784701075,1,0,0,1
phentermine,obesity,0.2055109070034443,0.0453784973596803,0.0012214848100114,0.5938108091143054,0.0017712465401816,1,0,0,1
liraglutide,nutrition disorders,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,1,0
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,1,0
liraglutide,"sleep apnea, obstructive",0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,1,0
midazolam,"obesity, morbid",0.2032146957520091,0.036647114683401,0.0017034706673509,0.5403184386235234,0.0020641626153659,1,0,0,1
cholecalciferol,hemophilia b,0.3409873708381171,0.0665714159385651,0.0053303403532472,0.4016516516516517,0.0029613416608704,1,0,0,1
cholecalciferol,obesity,0.3409873708381171,0.0665714159385651,0.0053303403532472,0.4016516516516517,0.0029613416608704,1,0,0,1
