drug,disease,run_timestamp,run_log,drug_mapping_method,disease_mapping_method,entity_mapping_quality_score,terminology_quality_flag,records_retrieved,records_usable,records_with_abstracts,records_with_intro,records_with_conclusion,records_excluded_missing_text,records_finally_classified,retrieval_usability_rate,literature_file,therapeutic_count,adverse_count,irrelevant_count,literature_completeness_count,therapeutic_relevance_ratio,adverse_evidence_burden,irrelevant_retrieval_noise_rate,literature_completeness_score,literature_evidence_pattern,gamma_safety_overlap,safety_conflict_score,safety_overlap_term_count,top_safety_overlap_terms,GraphDistanceToIndication,RandomWalkScore,StructuralLikelihood,PreferentialAttachment,KatzSimilarity,structural_consistency_score,evidence_domain_support,p_raw,p_penalised,p_final,cM,p_likelihood,posterior_mean,posterior_variance,posterior_ci_low,posterior_ci_high,credible_interval_width,kl_divergence,mean_shift,evidence_readiness_score,quality_flag
Levodopa,salivary gland neoplasms,20251230_131456,runs\run_levodopa_salivary_gland_neoplasms_20251230_131456.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,0.1429,1.4e-05,1.0014,0.0,0.0,0.130967,neither,0.5,0.5,0.5,0.0,0.475232,0.476185,0.00470628,0.343164,0.610942,0.267777,1.258826,-0.023815,56.698,Insufficient evidence
Levodopa,sarcopenia,20251230_132656,runs\run_levodopa_sarcopenia_20251230_132656.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,12,12,12,8.0,8.0,0,12,1.0,literatures\classified_pubmed_Levodopa_sarcopenia_20251230_132652.json,2,1,9,12,0.166667,0.083333,0.75,0.74693,dominated_by_irrelevant_articles,0.75,0.75,,,0.1111,6e-06,1.0007,0.0,0.0,0.113471,neither,0.166667,1e-06,1e-06,76.243322,0.474341,0.192736,0.00120385,0.129491,0.26505,0.135559,13.919791,0.17898,53.789,Safety-concerning
Levodopa,tinnitus,20251230_132525,runs\run_levodopa_tinnitus_20251230_132525.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,0.0,6e-06,1.0007,0.0,0.0,0.107164,neither,0.5,0.5,0.5,0.0,0.471162,0.472271,0.00470247,0.339448,0.607116,0.267668,1.259251,-0.027729,56.342,Insufficient evidence
Levodopa,trigeminal nerve diseases,20251230_131500,runs\run_levodopa_trigeminal_nerve_diseases_20251230_131500.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,0.1429,4.8e-05,1.0013,1e-06,0.0,0.207466,neither,0.5,0.5,0.5,0.0,0.475237,0.476189,0.00470628,0.343169,0.610946,0.267778,1.258825,-0.023811,57.845,Insufficient evidence
metformin,ascites,20251230_115653,runs\run_metformin_ascites_20251230_115653.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,19,19,19,9.0,9.0,0,19,1.0,literatures\classified_pubmed_metformin_ascites_20251230_115649.json,10,0,9,19,0.526316,0.0,0.473684,0.872377,therapeutically_relevant_literature,0.2,0.2,,,0.0,6e-06,1.0923,2.4e-05,0.0,0.390066,literature_only,0.526316,0.526316,0.526316,106.466715,0.468529,0.507751,0.00156735,0.430168,0.585148,0.15498,0.103828,-0.01808,72.757,Moderate evidence quality
metformin,bacteremia,20251229_222550,runs\run_metformin_bacteremia_20251229_222550.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,3,3,3,0.0,0.0,0,3,1.0,literatures\classified_pubmed_metformin_bacteremia_20251229_222545.json,2,0,1,3,0.666667,0.0,0.333333,0.403698,therapeutically_relevant_literature,0.2,0.2,,,0.0,6e-06,1.0923,2.4e-05,0.0,0.390066,neither,0.666667,0.666667,0.666667,22.615913,0.468529,0.529428,0.00329473,0.416507,0.640853,0.224346,1.039626,-0.123698,66.791,Moderate evidence quality
metformin,Chronic Kidney Disease,20251229_112214,runs\run_metformin_chronic_kidney_disease_20251229_112214.json,not_captured,not_captured,0.5,not_found_in_local_mapping_artifacts,147,147,147,0.0,0.0,0,147,1.0,literatures\classified_pubmed_metformin_Chronic Kidney Disease_20251229_112209.json,79,24,44,147,0.537415,0.163265,0.29932,1.0,safety_concerning,0.75,0.75,,,,,,,,,literature_only,0.537415,0.210884,0.131803,199.441043,0.5,0.207949,0.00065245,0.160163,0.260134,0.099971,3.635043,0.07249,58.628,Terminology uncertainty
metformin,dystonic disorders,20251229_222636,runs\run_metformin_dystonic_disorders_20251229_222636.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,0.0,6e-06,1.0923,2.4e-05,0.0,0.390066,neither,0.5,0.5,0.5,0.0,0.468529,0.469739,0.0046997,0.337049,0.604637,0.267588,1.259562,-0.030261,60.587,Insufficient evidence
metformin,foot ulcer,20251230_120013,runs\run_metformin_foot_ulcer_20251230_120013.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,30,30,30,17.0,17.0,0,30,1.0,literatures\classified_pubmed_metformin_foot ulcer_20251230_120008.json,14,2,14,30,0.466667,0.066667,0.466667,1.0,therapeutically_relevant_literature,0.2,0.2,,,0.0,6e-06,1.0923,2.4e-05,0.0,0.390066,literature_only,0.466667,0.333333,0.333333,139.761158,0.468529,0.370323,0.0012097,0.303519,0.439688,0.136169,0.398765,0.034638,74.392,Moderate evidence quality
metformin,gonorrhea,20251230_115730,runs\run_metformin_gonorrhea_20251230_115730.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,0.2,5.2e-05,1.0933,4.8e-05,0.0,0.544878,neither,0.5,0.5,0.5,0.0,0.474224,0.475215,0.00470539,0.342243,0.609995,0.267752,1.258925,-0.024785,62.907,Insufficient evidence
metformin,hypersensitivity,20251230_122626,runs\run_metformin_hypersensitivity_20251230_122626.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,101,101,101,46.0,45.0,0,101,1.0,literatures\classified_pubmed_metformin_hypersensitivity_20251230_122622.json,40,16,45,101,0.39604,0.158416,0.445545,1.0,therapeutically_relevant_literature,0.2,0.2,,,0.2,5e-05,1.0927,4.8e-05,0.0,0.542424,literature_only,0.39604,0.079208,0.079208,196.480506,0.474241,0.162085,0.00054438,0.119022,0.210296,0.091274,5.466626,0.078637,76.75,High evidence quality
metformin,mania,20251230_121635,runs\run_metformin_mania_20251230_121635.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,34,34,34,20.0,20.0,0,34,1.0,literatures\classified_pubmed_metformin_mania_20251230_121630.json,18,2,14,34,0.529412,0.058824,0.411765,1.0,therapeutically_relevant_literature,0.2,0.2,,,0.0,6e-06,1.0923,2.4e-05,0.0,0.390066,literature_only,0.529412,0.411765,0.411765,148.667845,0.468529,0.426788,0.00121308,0.35929,0.495669,0.136379,0.079523,0.013852,75.291,High evidence quality
metformin,maple syrup urine disease,20251229_222632,runs\run_metformin_maple_syrup_urine_disease_20251229_222632.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,2,2,2,0.0,0.0,0,2,1.0,literatures\classified_pubmed_metformin_maple syrup urine disease_20251229_222628.json,2,0,0,2,1.0,0.0,0.0,0.319923,sparse_but_clean,0.1,0.1,,,0.0,6e-06,1.0923,2.4e-05,0.0,0.390066,neither,0.999999,0.999999,0.999999,15.376731,0.468529,0.590755,0.00353576,0.472055,0.70435,0.232295,6.76523,-0.350756,71.915,Insufficient evidence
metformin,mitochondrial diseases,20251230_122922,runs\run_metformin_mitochondrial_diseases_20251230_122922.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,35,35,35,22.0,19.0,0,35,1.0,literatures\classified_pubmed_metformin_mitochondrial diseases_20251230_122918.json,14,12,9,35,0.4,0.342857,0.257143,1.0,abundant_but_conflicting,0.2,0.2,,,0.0,6e-06,1.0925,4.8e-05,0.0,0.395234,literature_only,0.4,1e-06,1e-06,150.680607,0.468523,0.120516,0.00052038,0.079497,0.168617,0.08912,16.596638,0.112997,75.556,Literature-conflicted
metformin,muscular atrophy,20251230_120809,runs\run_metformin_muscular_atrophy_20251230_120809.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,99,99,99,49.0,45.0,0,99,1.0,literatures\classified_pubmed_metformin_muscular atrophy_20251230_120805.json,51,15,33,99,0.515152,0.151515,0.333333,1.0,safety_concerning,0.7,0.7,,,0.1429,6e-06,1.0923,2.4e-05,0.0,0.40028,literature_only,0.515152,0.212121,0.137879,196.187377,0.472616,0.208233,0.00066164,0.160124,0.260795,0.100671,3.000817,0.0667,68.729,Moderate evidence quality
metformin,"neuroma, acoustic",20251230_115726,"runs\run_metformin_neuroma,_acoustic_20251230_115726.json",mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,5,5,5,0.0,0.0,0,5,1.0,"literatures\classified_pubmed_metformin_neuroma, acoustic_20251230_115722.json",4,0,1,5,0.8,0.0,0.2,0.521772,therapeutically_relevant_literature,0.2,0.2,,,0.1429,1.5e-05,1.0923,2.4e-05,0.0,0.407737,literature_only,0.8,0.8,0.8,36.253849,0.472616,0.607723,0.00267099,0.504383,0.706437,0.202054,2.995686,-0.176592,71.162,Moderate evidence quality
metformin,paronychia,20251229_222620,runs\run_metformin_paronychia_20251229_222620.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,0,0,0,,,0,0,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,no_literature_retrieved,,,,,0.0,6e-06,1.0923,2.4e-05,0.0,0.390066,neither,0.5,0.5,0.5,0.0,0.468529,0.469739,0.0046997,0.337049,0.604637,0.267588,1.259562,-0.030261,60.587,Insufficient evidence
metformin,pulmonary embolism,20251230_121353,runs\run_metformin_pulmonary_embolism_20251230_121353.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,70,70,70,43.0,44.0,0,70,1.0,literatures\classified_pubmed_metformin_pulmonary embolism_20251230_121349.json,28,6,36,70,0.4,0.085714,0.514286,1.0,mixed_or_limited_signal,0.2,0.2,,,0.2,5.4e-05,1.0929,4.8e-05,0.0,0.547274,literature_only,0.4,0.228571,0.228571,187.837987,0.474236,0.282049,0.0008408,0.227008,0.340533,0.113525,1.284708,0.050618,76.185,High evidence quality
